battery,item_id,func,split,layers,alpha,posmode,arm,seed,good_rank,bad_rank,argmax_tok,in_top5,is_top1,beats_bad,patch_norm,top5_ids
h17,fruit-08-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,23,89,845,0,0,1,710.1246,845 1310 1643 6029 1402
h17,fruit-08-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,170,14,845,0,0,0,1108.1178,845 8234 1643 22802 25996
h17,fruit-08-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,100,31,1643,0,0,0,998.4364,1643 845 1310 1402 1178
h17,fruit-08-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,55,8,845,0,0,0,438.2525,845 1310 1643 1402 6029
h17,fruit-08-output,,tuning,7-8-9,2.0,all,lens,-1,1,48940,49364,1,1,1,637.4833,49364 845 1310 1402 1643
h17,fruit-08-output,,tuning,7-8-9,2.0,all,randdir_shared_source,0,65,7,1643,0,0,0,203.7975,1643 1310 845 1402 6029
h17,fruit-08-output,,tuning,7-8-9,2.0,all,randdir_shared_source,1,39,6,845,0,0,0,245.8785,845 6029 1310 1643 3621
h17,fruit-08-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,100,31,1643,0,0,0,998.4364,1643 845 1310 1402 1178
h17,fruit-08-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,55,8,845,0,0,0,438.2525,845 1310 1643 1402 6029
h17,fruit-09-lens,,heldout,7-8-9,2.0,all,lens,-1,1,50084,30777,1,1,1,2076.0396,30777 36656 8237 262 48315
h17,fruit-09-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,0,143,44,262,0,0,0,743.5154,262 257 607 428 6029
h17,fruit-09-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,1,42,7,262,0,0,0,1100.134,262 257 46593 616 36973
h17,fruit-09-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,35,3,262,0,0,0,557.8867,262 257 41236 428 49364
h17,fruit-09-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,112,4,262,0,0,0,582.2045,262 257 6029 41236 616
h17,fruit-09-output,,heldout,7-8-9,2.0,all,lens,-1,1,50084,30777,1,1,1,2076.0396,30777 36656 8237 262 48315
h17,fruit-09-output,,heldout,7-8-9,2.0,all,randdir_shared_source,0,56,4,262,0,0,0,548.9517,262 257 616 41236 607
h17,fruit-09-output,,heldout,7-8-9,2.0,all,randdir_shared_source,1,53,3,262,0,0,0,267.763,262 257 41236 6029 45540
h17,fruit-09-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,35,3,262,0,0,0,557.8867,262 257 41236 428 49364
h17,fruit-09-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,112,4,262,0,0,0,582.2045,262 257 6029 41236 616
h17,colour-00-lens,,tuning,7-8-9,2.0,all,lens,-1,12856,1,14032,0,0,0,361.3015,14032 4171 17265 262 4753
h17,colour-00-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,17,7,262,0,0,0,473.1406,262 4171 2042 257 2330
h17,colour-00-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,29,60,262,0,0,1,990.83,262 3221 2192 257 2330
h17,colour-00-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,13,15,262,0,0,1,723.8184,262 2042 4171 4077 257
h17,colour-00-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,203,237,262,0,0,1,856.8748,262 257 616 428 674
h17,colour-00-output,,tuning,7-8-9,2.0,all,lens,-1,1,27741,7872,1,1,1,979.1061,7872 10912 262 11398 9568
h17,colour-00-output,,tuning,7-8-9,2.0,all,randdir_shared_source,0,85,4,262,0,0,0,994.9575,262 257 616 4171 2266
h17,colour-00-output,,tuning,7-8-9,2.0,all,randdir_shared_source,1,32,3,262,0,0,0,766.831,262 257 4171 616 2330
h17,colour-00-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,16,3,262,0,0,0,782.9064,262 2266 4171 616 257
h17,colour-00-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,18,2,262,0,0,0,397.3173,262 4171 2042 257 2330
h17,colour-01-lens,,heldout,7-8-9,2.0,all,lens,-1,2522,1,14032,0,0,0,287.9151,14032 4171 262 4753 257
h17,colour-01-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,0,38,17,2042,0,0,0,595.6839,2042 262 257 2266 616
h17,colour-01-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,1,48,45,10912,0,0,0,1195.1702,10912 262 257 366 407
h17,colour-01-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,16,13,262,0,0,0,723.5455,262 2042 4171 257 4077
h17,colour-01-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,193,167,262,0,0,0,857.4623,262 257 616 428 530
h17,colour-01-output,,heldout,7-8-9,2.0,all,lens,-1,1,28817,7872,1,1,1,981.1199,7872 10912 262 11398 523
h17,colour-01-output,,heldout,7-8-9,2.0,all,randdir_shared_source,0,14,4,262,0,0,0,397.8553,262 616 11398 4171 2266
h17,colour-01-output,,heldout,7-8-9,2.0,all,randdir_shared_source,1,12,2,262,0,0,0,328.6511,262 4171 11398 2266 10912
h17,colour-01-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,18,4,262,0,0,0,782.2538,262 616 2266 4171 257
h17,colour-01-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,16,2,262,0,0,0,397.5365,262 4171 257 428 616
h17,colour-02-lens,,tuning,7-8-9,2.0,all,lens,-1,1,2439,11398,1,1,1,1594.7606,11398 262 2266 257 14657
h17,colour-02-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,10,7,262,0,0,0,262.0962,262 257 4171 4077 2266
h17,colour-02-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,30,175,262,0,0,1,1135.5895,262 407 2330 991 257
h17,colour-02-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,11,16,262,0,0,1,776.2863,262 257 616 10912 4171
h17,colour-02-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,76,59,262,0,0,0,718.0464,262 257 2266 4171 407
h17,colour-02-output,,tuning,7-8-9,2.0,all,lens,-1,1,34655,11398,1,1,1,1580.0934,11398 14657 41429 673 523
h17,colour-02-output,,tuning,7-8-9,2.0,all,randdir_shared_source,0,6,2,262,0,0,0,352.3338,262 4171 2266 257 2042
h17,colour-02-output,,tuning,7-8-9,2.0,all,randdir_shared_source,1,8,2,262,0,0,0,998.9783,262 4171 3223 616 257
h17,colour-02-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,18,9,2266,0,0,0,1005.598,2266 10912 262 7872 4077
h17,colour-02-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,3,2,262,1,0,0,642.2029,262 4171 11398 257 2330
h17,colour-03-lens,,heldout,7-8-9,2.0,all,lens,-1,14,2998,314,0,0,1,1749.3739,314 3469 317 3594 383
h17,colour-03-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,0,1929,935,314,0,0,0,1137.963,314 2635 383 632 317
h17,colour-03-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,1,2199,943,314,0,0,0,641.9929,314 317 2011 383 2619
h17,colour-03-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,3138,2283,314,0,0,0,207.0304,314 383 317 632 2011
h17,colour-03-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,3499,1621,314,0,0,0,486.1079,314 383 317 632 770
h17,colour-03-output,,heldout,7-8-9,2.0,all,lens,-1,1,44581,7586,1,1,1,2994.2881,7586 4373 921 2011 33282
h17,colour-03-output,,heldout,7-8-9,2.0,all,randdir_shared_source,0,1482,385,314,0,0,0,1202.0809,314 2011 317 383 632
h17,colour-03-output,,heldout,7-8-9,2.0,all,randdir_shared_source,1,3228,2283,314,0,0,0,1205.4115,314 632 2011 383 3894
h17,colour-03-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,423,152,314,0,0,0,945.9222,314 383 921 317 632
h17,colour-03-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,1149,464,314,0,0,0,632.4611,314 383 317 2011 13980
h17,colour-04-lens,,tuning,7-8-9,2.0,all,lens,-1,7062,1,14032,0,0,0,381.645,14032 4171 17265 2266 2042
h17,colour-04-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,11,10,2266,0,0,0,401.02,2266 4171 2042 262 11398
h17,colour-04-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,21,32,262,0,0,1,592.9251,262 2266 257 10912 4077
h17,colour-04-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,11,13,2042,0,0,1,723.4855,2042 4171 4077 2266 10912
h17,colour-04-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,126,146,262,0,0,1,856.8519,262 257 674 511 530
h17,colour-04-output,,tuning,7-8-9,2.0,all,lens,-1,1,15961,7872,1,1,1,953.986,7872 10912 11398 257 607
h17,colour-04-output,,tuning,7-8-9,2.0,all,randdir_shared_source,0,103,5,2266,0,0,0,1662.0354,2266 2042 262 257 4171
h17,colour-04-output,,tuning,7-8-9,2.0,all,randdir_shared_source,1,12,1,4171,0,0,0,275.6397,4171 11398 2266 257 2042
h17,colour-04-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,12,2,2266,0,0,0,782.2354,2266 4171 11398 4077 10912
h17,colour-04-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,13,1,4171,0,0,0,396.8915,4171 262 2042 257 2266
h17,colour-05-lens,,heldout,7-8-9,2.0,all,lens,-1,6244,1,14032,0,0,0,326.8896,14032 4171 17265 2266 2042
h17,colour-05-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,0,28,31,257,0,0,1,787.0209,257 262 2042 4171 2266
h17,colour-05-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,1,11,10,10912,0,0,0,559.3464,10912 366 4171 2266 2330
h17,colour-05-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,11,13,2042,0,0,1,722.9311,2042 4077 4171 257 2266
h17,colour-05-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,96,93,262,0,0,0,858.936,262 257 674 530 511
h17,colour-05-output,,heldout,7-8-9,2.0,all,lens,-1,1,21919,7872,1,1,1,967.731,7872 10912 2330 11398 262
h17,colour-05-output,,heldout,7-8-9,2.0,all,randdir_shared_source,0,12,2,2266,0,0,0,437.5248,2266 4171 2042 2330 4077
h17,colour-05-output,,heldout,7-8-9,2.0,all,randdir_shared_source,1,16,6,262,0,0,0,784.8474,262 465 257 2266 2330
h17,colour-05-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,13,2,2266,0,0,0,780.6412,2266 4171 2330 4077 257
h17,colour-05-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,12,1,4171,0,0,0,397.0074,4171 262 257 2042 2266
h17,colour-06-lens,,tuning,7-8-9,2.0,all,lens,-1,13,18,2266,0,0,1,1187.2797,2266 4171 4077 11 290
h17,colour-06-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,11,7,11,0,0,0,737.3462,11 2266 290 1657 4171
h17,colour-06-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,13,14,2266,0,0,1,771.282,2266 4171 11398 11 4077
h17,colour-06-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,6,5,4171,0,0,0,666.0264,4171 2266 11 11398 10912
h17,colour-06-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,9,5,2266,0,0,0,462.0529,2266 4171 11398 7872 10912
h17,colour-06-output,,tuning,7-8-9,2.0,all,lens,-1,1,4660,14032,1,1,1,993.8661,14032 11398 290 3931 3124
h17,colour-06-output,,tuning,7-8-9,2.0,all,randdir_shared_source,0,41,1,2266,0,0,0,1137.4177,2266 11 4171 2330 290
h17,colour-06-output,,tuning,7-8-9,2.0,all,randdir_shared_source,1,11,1,2266,0,0,0,422.2225,2266 4171 10912 11398 4077
h17,colour-06-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,12,2,4171,0,0,0,730.4808,4171 2266 11398 7872 2330
h17,colour-06-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,22,1,2266,0,0,0,1058.1752,2266 4171 4077 11 290
h17,colour-07-lens,,heldout,7-8-9,2.0,all,lens,-1,1370,435,257,0,0,0,237.8899,257 9909 262 1043 407
h17,colour-07-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,0,1013,666,257,0,0,0,517.9307,257 262 9909 1043 407
h17,colour-07-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,1,626,1098,257,0,0,1,508.0723,257 262 973 407 530
h17,colour-07-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,836,609,257,0,0,0,310.3393,257 9909 262 530 407
h17,colour-07-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,5442,2405,257,0,0,0,1269.9137,257 262 281 973 407
h17,colour-07-output,,heldout,7-8-9,2.0,all,lens,-1,1,48921,8465,1,1,1,2868.8347,8465 7698 3869 2702 14119
h17,colour-07-output,,heldout,7-8-9,2.0,all,randdir_shared_source,0,1520,81,257,0,0,0,1176.8818,257 262 407 9909 287
h17,colour-07-output,,heldout,7-8-9,2.0,all,randdir_shared_source,1,3806,639,407,0,0,0,961.079,407 257 287 262 477
h17,colour-07-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,180,391,257,0,0,1,938.5312,257 1043 262 407 281
h17,colour-07-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,1133,127,257,0,0,0,954.645,257 262 287 6572 530
h17,colour-08-lens,,tuning,7-8-9,2.0,all,lens,-1,4023,1,11398,0,0,0,1194.108,11398 14657 23612 262 616
h17,colour-08-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,18,33,262,0,0,1,783.7171,262 2330 257 616 2266
h17,colour-08-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,47,19,262,0,0,0,997.2985,262 2330 257 2042 11
h17,colour-08-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,12,7,262,0,0,0,349.2639,262 2042 2266 2330 4171
h17,colour-08-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,16,14,262,0,0,0,602.2621,262 2330 4171 2042 2266
h17,colour-08-output,,tuning,7-8-9,2.0,all,lens,-1,1,9884,7872,1,1,1,903.9305,7872 10912 4077 11398 2266
h17,colour-08-output,,tuning,7-8-9,2.0,all,randdir_shared_source,0,25,3,262,0,0,0,479.3551,262 616 2330 2042 2266
h17,colour-08-output,,tuning,7-8-9,2.0,all,randdir_shared_source,1,11,2,262,0,0,0,1606.2234,262 2330 257 2266 13791
h17,colour-08-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,10,8,262,0,0,0,1135.3096,262 2266 2297 4171 14032
h17,colour-08-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,22,11,262,0,0,0,1001.3531,262 2266 257 366 10912
h17,colour-09-lens,,heldout,7-8-9,2.0,all,lens,-1,16312,1,14032,0,0,0,540.1711,14032 523 4171 257 4602
h17,colour-09-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,0,7,8,4077,0,0,1,1045.6293,4077 2266 257 6016 845
h17,colour-09-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,1,518,434,407,0,0,0,851.464,407 257 845 287 925
h17,colour-09-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,37,47,257,0,0,1,723.4246,257 2042 2266 262 407
h17,colour-09-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,249,285,523,0,0,1,857.1379,523 257 262 884 845
h17,colour-09-output,,heldout,7-8-9,2.0,all,lens,-1,1,5148,14032,1,1,1,909.3975,14032 288 546 11398 523
h17,colour-09-output,,heldout,7-8-9,2.0,all,randdir_shared_source,0,100,2,257,0,0,0,1047.5607,257 2266 4171 262 635
h17,colour-09-output,,heldout,7-8-9,2.0,all,randdir_shared_source,1,21,10,257,0,0,0,1041.0072,257 523 262 407 287
h17,colour-09-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,33,5,257,0,0,0,729.5406,257 6016 262 523 2266
h17,colour-09-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,47,2,257,0,0,0,1058.2227,257 2266 407 4171 262
h17,animal-00-lens,,tuning,7-8-9,2.0,all,lens,-1,50248,1,44136,0,0,0,1745.5656,44136 36798 44576 24635 22206
h17,animal-00-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,263,390,262,0,0,1,922.9211,262 257 534 284 635
h17,animal-00-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,249,2504,262,0,0,1,733.6002,262 257 407 281 530
h17,animal-00-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,275,2697,262,0,0,1,844.2029,262 257 281 530 616
h17,animal-00-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,1762,2081,262,0,0,1,594.5698,262 257 281 616 407
h17,animal-00-output,,tuning,7-8-9,2.0,all,lens,-1,1,40855,44136,1,1,1,1257.5011,44136 36798 44576 287 16050
h17,animal-00-output,,tuning,7-8-9,2.0,all,randdir_shared_source,0,722,269,262,0,0,0,764.8891,262 257 607 281 635
h17,animal-00-output,,tuning,7-8-9,2.0,all,randdir_shared_source,1,8014,147,262,0,0,0,1003.8251,262 257 616 284 281
h17,animal-00-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,358,153,262,0,0,0,744.1857,262 257 616 281 284
h17,animal-00-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,816,70,257,0,0,0,534.452,257 262 281 635 530
h17,animal-01-lens,,heldout,7-8-9,2.0,all,lens,-1,1,50247,44136,1,1,1,1749.9626,44136 36798 44576 24635 22206
h17,animal-01-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,0,1774,1138,262,0,0,0,732.6063,262 257 326 407 281
h17,animal-01-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,1,1598,1117,262,0,0,0,580.0413,262 257 407 281 616
h17,animal-01-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,156,352,262,0,0,1,558.3663,262 257 407 616 326
h17,animal-01-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,1966,1014,262,0,0,0,684.212,262 257 281 616 530
h17,animal-01-output,,heldout,7-8-9,2.0,all,lens,-1,1,46619,17522,1,1,1,1114.5784,17522 26042 16705 30318 262
h17,animal-01-output,,heldout,7-8-9,2.0,all,randdir_shared_source,0,248,106,262,0,0,0,633.0456,262 257 407 530 616
h17,animal-01-output,,heldout,7-8-9,2.0,all,randdir_shared_source,1,280,135,262,0,0,0,687.6691,262 257 530 616 281
h17,animal-01-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,4974,242,262,0,0,0,791.4997,262 616 257 287 326
h17,animal-01-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,1994,122,262,0,0,0,961.4018,262 257 616 530 281
h17,animal-02-lens,,tuning,7-8-9,2.0,all,lens,-1,1,50192,44136,1,1,1,2481.3887,44136 44576 36798 21668 383
h17,animal-02-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,15933,11285,314,0,0,0,468.2233,314 383 317 2011 775
h17,animal-02-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,7673,5174,314,0,0,0,202.4495,314 383 2011 317 13792
h17,animal-02-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,15815,4314,383,0,0,0,1663.464,383 314 317 632 1002
h17,animal-02-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,7501,3257,314,0,0,0,586.8984,314 383 317 2011 2773
h17,animal-02-output,,tuning,7-8-9,2.0,all,lens,-1,1,49053,20096,1,1,1,753.4965,20096 34022 317 554 412
h17,animal-02-output,,tuning,7-8-9,2.0,all,randdir_shared_source,0,8490,4537,314,0,0,0,790.3918,314 383 775 317 632
h17,animal-02-output,,tuning,7-8-9,2.0,all,randdir_shared_source,1,12318,6112,314,0,0,0,775.6628,314 383 317 366 632
h17,animal-02-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,15191,1009,383,0,0,0,1733.3036,383 314 317 632 198
h17,animal-02-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,4017,2458,314,0,0,0,224.9639,314 383 317 2011 632
h17,animal-03-lens,,heldout,7-8-9,2.0,all,lens,-1,50217,1,44136,0,0,0,1744.2507,44136 36798 44576 24635 22206
h17,animal-03-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,0,625,338,257,0,0,0,1124.067,257 262 281 635 607
h17,animal-03-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,1,231,2714,262,0,0,1,919.4357,262 257 635 281 1444
h17,animal-03-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,86,1181,257,0,0,1,844.4298,257 262 281 635 530
h17,animal-03-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,519,771,257,0,0,1,594.47,257 262 281 607 635
h17,animal-03-output,,heldout,7-8-9,2.0,all,lens,-1,1,50144,44136,1,1,1,1995.9551,44136 36798 22206 44576 262
h17,animal-03-output,,heldout,7-8-9,2.0,all,randdir_shared_source,0,560,34,262,0,0,0,769.5131,262 257 465 635 281
h17,animal-03-output,,heldout,7-8-9,2.0,all,randdir_shared_source,1,1184,30,257,0,0,0,458.524,257 262 281 635 607
h17,animal-03-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,253,24,257,0,0,0,158.17,257 262 635 607 281
h17,animal-03-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,455,74,257,0,0,0,619.4536,257 262 281 607 635
h17,animal-04-lens,,tuning,7-8-9,2.0,all,lens,-1,50246,1,44136,0,0,0,1751.4935,44136 36798 44576 24635 22206
h17,animal-04-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,478,480,257,0,0,1,487.5849,257 262 281 465 635
h17,animal-04-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,132,387,262,0,0,1,224.0911,262 257 635 281 465
h17,animal-04-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,73,1171,257,0,0,1,844.0556,257 262 281 635 465
h17,animal-04-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,512,857,257,0,0,1,594.6423,257 262 281 465 635
h17,animal-04-output,,tuning,7-8-9,2.0,all,lens,-1,1,50189,44136,1,1,1,1581.8569,44136 44576 36798 262 257
h17,animal-04-output,,tuning,7-8-9,2.0,all,randdir_shared_source,0,6636,809,262,0,0,0,1491.6312,262 257 465 284 1583
h17,animal-04-output,,tuning,7-8-9,2.0,all,randdir_shared_source,1,607,16,257,0,0,0,1110.2275,257 262 11 635 281
h17,animal-04-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,144,34,257,0,0,0,1439.531,257 262 281 465 635
h17,animal-04-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,141,23,262,0,0,0,739.7996,262 257 635 281 465
h17,animal-05-lens,,heldout,7-8-9,2.0,all,lens,-1,50257,1,44136,0,0,0,4622.5176,44136 36798 44576 24635 22206
h17,animal-05-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,0,373,687,366,0,0,1,743.674,366 530 976 2927 3290
h17,animal-05-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,1,22,86,530,0,0,1,903.7667,530 691 976 749 717
h17,animal-05-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,121,142,530,0,0,1,525.1547,530 691 749 3290 3797
h17,animal-05-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,37,83,530,0,0,1,339.2696,530 6473 20950 18744 976
h17,animal-05-output,,heldout,7-8-9,2.0,all,lens,-1,1,3092,44136,1,1,1,441.2578,44136 530 976 691 749
h17,animal-05-output,,heldout,7-8-9,2.0,all,randdir_shared_source,0,118,9,530,0,0,0,409.0476,530 749 6175 691 1263
h17,animal-05-output,,heldout,7-8-9,2.0,all,randdir_shared_source,1,6187,575,530,0,0,0,1349.6849,530 1266 717 749 976
h17,animal-05-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,1599,20,530,0,0,0,614.3173,530 691 976 717 1862
h17,animal-05-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,627,4,530,0,0,0,642.6243,530 366 691 20950 749
h17,animal-06-lens,,tuning,7-8-9,2.0,all,lens,-1,694,1,44136,0,0,0,350.9681,44136 749 1266 530 4387
h17,animal-06-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,27,222,530,0,0,1,928.0798,530 749 1263 18744 41919
h17,animal-06-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,17,275,749,0,0,1,318.9302,749 530 5044 18744 3290
h17,animal-06-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,106,750,749,0,0,1,834.4953,749 530 4387 5044 4094
h17,animal-06-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,55,209,530,0,0,1,354.3935,530 749 1266 18744 3290
h17,animal-06-output,,tuning,7-8-9,2.0,all,lens,-1,1,50189,44136,1,1,1,2637.3386,44136 36798 44576 24635 22206
h17,animal-06-output,,tuning,7-8-9,2.0,all,randdir_shared_source,0,98,9,749,0,0,0,389.8352,749 530 1266 3290 3797
h17,animal-06-output,,tuning,7-8-9,2.0,all,randdir_shared_source,1,309,6,530,0,0,0,622.2652,530 749 3797 17481 22746
h17,animal-06-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,302,26,530,0,0,0,470.0304,530 366 21831 749 5044
h17,animal-06-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,518,22,20950,0,0,0,1373.2175,20950 749 5044 1049 2208
h17,animal-07-lens,,heldout,7-8-9,2.0,all,lens,-1,50257,1,44136,0,0,0,4607.3374,44136 36798 44576 24635 22206
h17,animal-07-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,0,348,526,262,0,0,1,793.7125,262 257 465 635 915
h17,animal-07-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,1,76,799,262,0,0,1,795.765,262 257 465 281 616
h17,animal-07-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,250,377,262,0,0,1,522.1755,262 257 465 281 616
h17,animal-07-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,111,409,262,0,0,1,346.9403,262 257 465 281 616
h17,animal-07-output,,heldout,7-8-9,2.0,all,lens,-1,1,38831,44136,1,1,1,1291.764,44136 36798 44576 287 262
h17,animal-07-output,,heldout,7-8-9,2.0,all,randdir_shared_source,0,1482,298,262,0,0,0,619.3931,262 257 616 281 607
h17,animal-07-output,,heldout,7-8-9,2.0,all,randdir_shared_source,1,7345,84,262,0,0,0,617.8005,262 257 465 616 281
h17,animal-07-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,275,75,262,0,0,0,750.5486,262 257 616 465 281
h17,animal-07-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,563,32,257,0,0,0,536.8445,257 262 281 465 635
h17,animal-08-lens,,tuning,7-8-9,2.0,all,lens,-1,50257,1,44136,0,0,0,2498.3997,44136 44576 36798 27161 16050
h17,animal-08-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,91,1324,5022,0,0,1,380.8292,5022 2888 366 1862 4257
h17,animal-08-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,44,1965,366,0,0,1,635.4163,366 2330 1643 2219 1588
h17,animal-08-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,73,473,4257,0,0,1,340.2521,4257 1862 2042 2330 1402
h17,animal-08-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,106,389,1862,0,0,1,766.3857,1862 1402 3290 2679 4295
